Apps                                    Avg Num     Num Machines
SafariCloudHistoryPushAgent             1.0         1
ScopedBookmarkAgent                     1.0         1
WDSecurityHelper                        1.0         1
appleeventsd                            1.0         1
askpermissiond                          1.0         1
authd                                   1.0         1
awdd                                    1.0         1
cloudfamilyrestrictionsd                1.0         1
cloudpaird                              1.0         1
com.apple.AddressBook.ContactsA         1.0         1
com.apple.AddressBook.FaceTimeS         1.0         1
com.apple.dock.extra                    1.0         1
com.apple.hiservices-xpcservice         1.0         1
com.apple.photomodel                    1.0         1
com.apple.tonelibraryd                  1.0         1
coreaudiod                              1.0         1
coreduetd                               1.0         1
coreservicesd                           1.0         1
diskarbitrationd                        1.0         1
distnoted                               1.0         1
fontd                                   1.0         1
iconservicesagent                       1.0         1
iconservicesd                           1.0         1
launchservicesd                         1.0         1
lsd                                     1.0         1
mds_stores                              1.0         1
mysqld                                  1.0         1
nehelper                                1.0         1
networkd                                1.0         1
opendirectoryd                          1.0         1
photolibraryd                           1.0         1
powerd                                  1.0         1
rcd                                     1.0         1
recentsd                                1.0         1
sharedfilelistd                         1.0         1
soagent                                 1.0         1
tccd                                    1.0         1
useractivityd                           1.0         1
warmd                                   1.0         1
wirelessproxd                           1.0         1
mdwrite                                 1.0         1


